Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2023-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.515924001,0.52706822,0.535021865,0.550334898,0.572710035,0.579884199,0.588019007,0.599463296,0.631873667,0.63673895,0.629030972,0.649799807,0.6682785,0.675206798,0.676080068,0.688709834,0.691379833,0.707909329,0.72420526,0.731853692,0.714364479,0.72789978,0.736201875,0.717955861,0.731197083,0.761071464,0.757008158,0.754575223,0.725075501,0.744695014,0.70023324,0.687195034
Africa Eastern and Southern,AFE,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.194602492,0.206525087,0.228087147,0.237112492,0.24444836,0.291421414,0.29026057,0.281749777,0.313118694,0.355391258,0.338605456,0.316182906,0.297582909,0.278402949,0.257062533,0.252922844,0.237949571,0.230899901,0.248955733,0.221367103
Africa Western and Central,AFW,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.355690085,0.321715894,0.26172051,0.233532945,0.17359324,0.184508086,0.216844399,0.201932706,0.162254205,0.148080654,0.208483418,0.191512752,0.231700775,0.257094157,0.298372772,0.394793601,0.486425348,0.517616709,0.619744632,0.484826061,0.530894034,0.673294986,0.671584863,0.667456302,0.622805676,0.426284316,0.24327307,0.316407264,0.353191523,0.311323212,0.252095744,0.300954547
Albania,ALB,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.292215169,0.212799831,0.132960454,0.215460897,0.309097695,0.339445032,0.338870917,0.263967357,0.269361476,0.297623187,0.291786111,0.298044986,0.305728621,0.369202193,0.43730345,0.455865945,0.452773214,0.493541442,0.531156003,0.466798329,0.425226028,0.434683305,0.403527372,0.417470077,0.406653319,0.339037497,0.341429249,0.354790046,0.391731136,0.37454563,0.379946537,0.410670239
Andorra,AND,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.318246941,0.31033273,0.308900341,0.305604339,0.29842947,0.303721797,0.315479462,0.307178074,0.290717107,0.310882393,0.338831679,0.323581347,0.330630106,0.337435093,0.356550601,0.402842806,0.437531079,0.479414742,0.557572502,0.469904506,0.522319217,0.579062865,0.592981511,0.602672829,0.594300101,0.595720809,0.596256529,0.604980799,0.637760434,0.606538506,0.52720989,0.578462578
Argentina,ARG,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.602896764,0.717220146,0.783458876,0.731858573,0.736237214,0.74394034,0.730181312,0.714473304,0.694473013,0.672245112,0.664171111,0.642419923,0.25818847,0.30372284,0.350110353,0.376406087,0.395454345,0.436729242,0.517825554,0.503663127,0.57495647,0.664978427,0.666077557,0.649734868,0.626648112,0.685845508,0.629817034,0.619272319,0.506432682,0.433141436,0.409204164,0.449736511
