Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2023-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,ALB,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,ARM,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.67317521,52.12209437,70.85758472,69.85380944,74.25047556,72.78114336,74.01093522,73.03479104,73.66518901,67.93751973,71.6345814,80.1308994,86.9715092,99.47673351,107.8111867,99.33641234,100,99.1272913,94.34938012,96.06647772,100.2014186,103.209217,101.8834262,98.73637709,99.46324908,101.5524668,99.41971545,94.55878442
American Samoa,ASM,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,128.014054,132.3406856,145.1082259,149.8902001,154.1696943,162.3783394,160.8032951,141.4301687,131.9455945,132.857552,136.2063601,131.4297525,133.1046016,131.0703073,139.0343286,117.0482952,113.4384788,115.4059549,115.3914062,119.5195126,116.9977031,114.6684504,116.984542,117.7650331,114.0778654,110.9369946,108.341039,106.1567729,98.21812884,95.37411295,99.83677352,100,96.66617426,100.7410756,99.96002768,100.3088575,110.3459267,111.7049798,111.5491331,108.1957845,111.7959614,111.0186779,105.7356185
Australia,AUS,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,92.30808193,100.2508565,100.6449145,98.59317214,101.7095927,85.60019597,74.87432542,74.72091014,82.66011201,88.70185899,86.51704803,85.13431522,76.91493875,71.60143806,75.18090092,73.49697343,80.37835155,79.964093,73.2541561,73.50704339,70.44146279,67.56690417,70.85730399,79.36820293,85.42290219,87.9667003,87.24123564,92.33519597,90.37390416,87.59393688,100,106.9638534,109.0240074,103.4758206,98.34144544,89.82023394,91.00207333,93.78250773,89.96307172,86.02580988,85.30065234,90.50263142
Austria,AUT,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,97.74196648,97.81976327,94.62324475,95.89152492,95.90273055,96.75205409,96.41264488,100.6228285,103.368677,103.0565907,101.8092541,103.6210209,101.5817785,103.3987708,106.1123216,106.7863927,110.8563507,108.3115716,103.650735,103.2682929,101.4749721,98.31757246,98.46403575,99.27372635,102.7759854,103.9156565,102.8692113,102.0036217,102.5745057,102.7434745,103.594047,100,100.2553106,98.39044624,100.5016187,101.819024,98.33154115,99.87578228,100.9880312,102.8467206,101.7319921,103.5640683,103.8512136
Azerbaijan,AZE,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
